"Wavelength (nm)"	WT	Shuf1	FEBS
192.2	11.591440	12.909680	12.461760
192.1	11.256740	13.093830	12.645610
192.0	11.141930	13.438980	13.371380
191.9	11.676200	13.584670	13.443490
191.8	12.112850	14.120790	13.381580
191.7	12.650050	15.043980	13.188350
191.6	12.216440	15.207200	12.758990
191.5	12.025750	15.458360	12.369730
191.4	12.114040	15.528260	12.335080
191.3	12.406320	15.588600	12.139250
191.2	12.266770	15.590760	11.658600
191.1	12.358070	15.916430	11.362390
191.0	12.096490	16.159310	11.705420
190.9	11.513330	15.541470	11.251710
190.8	11.227670	15.276930	11.405560
190.7	10.820010	15.389640	11.754380
190.6	10.132000	15.833420	12.030250
190.5	10.135670	16.537620	11.846870
190.4	10.036830	16.204180	12.030920
190.3	9.167240	14.912190	12.186690
190.2	8.404714	14.587070	11.819030
190.1	7.800507	13.593990	11.959620
190.0	8.030309	12.892040	11.591360
